layer,hour,simulation_count,mean_simulated_value,stdev_simulated_value,min_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,max_simulated_value,risk_percent
1,24,2500,7.406659825409176,2.067254102106621,-1.913673047271259,3.858527445770604,7.416357593288541,11.10383958324988,16.029153011213882,94.36
4,24,2500,5.330738274920683,2.2730299425228977,-5.385330755195371,1.3646278756220935,5.458739752259637,8.792398705376687,12.654503305078896,74.76
2,24,2500,3.7684028940584007,1.9328089443786833,-3.9495578721005113,0.5359546928026317,3.679376868317957,7.032788297146897,9.585836365910309,42.72
3,24,2500,2.631429982320312,2.6113648258570774,-5.499736486167764,-1.3969483325038015,2.441165039686449,7.175432753916673,14.765831487323029,27.36
