layer,hour,simulation_count,mean_simulated_value,stdev_simulated_value,min_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,max_simulated_value,risk_percent
1,0,2500,-0.1726886249537257,1.3681569020715802,-5.508966439449676,-2.1114852892690017,-0.3543515895675069,2.3847116077951767,5.849406958146577,0.76
1,6,2500,1.1698121394559298,2.2390725231431214,-8.668726221992156,-2.442575743038067,1.1511235597495106,4.708418764136838,12.33474179169371,9.36
1,12,2500,4.500407404289126,2.469116244216691,-8.02137784738898,0.34852285906825015,4.384179609914547,9.15250852668277,16.903289492211876,63.080000000000005
1,18,2500,5.943936834493828,1.584960297220218,-3.0727625024683407,3.2816056023726032,6.063743656765979,8.080060329479583,14.839982464664942,91.88
1,24,2500,7.406659825409176,2.067254102106621,-1.913673047271259,3.858527445770604,7.416357593288541,11.10383958324988,16.029153011213882,94.36
2,0,2500,-0.8723931138390599,0.5021042347784742,-3.121461020075276,-1.5327808436750558,-0.9327507309351365,0.050395119467401765,2.681479648205001,0.0
2,6,2500,-0.5437706509894124,0.840705852734562,-2.76027410848291,-1.4164868522682041,-0.8438508721940645,1.2080846415220012,4.813459761133913,0.04
2,12,2500,0.6694048551448692,1.507709766756872,-4.94557664512624,-1.7518153703523145,0.6571353853326025,3.2160030753352196,5.9819310286398055,1.68
2,18,2500,2.1389245588671253,1.8866137285897442,-4.802804985266289,-0.9053002828583203,2.1112571820579356,5.155255882758919,9.012269575111182,17.2
2,24,2500,3.7684028940584007,1.9328089443786833,-3.9495578721005113,0.5359546928026317,3.679376868317957,7.032788297146897,9.585836365910309,42.72
3,0,2500,-0.6809546029246334,0.3679262727167493,-1.9924016498546049,-1.307603771610882,-0.6950148616564185,-0.04658561301635865,0.9155705621830544,0.0
3,6,2500,-0.3928861067977842,0.82272054473604,-3.854375143509064,-1.711484875547561,-0.4543987465229428,1.0117704258486595,2.79756383882986,0.0
3,12,2500,0.5056635003947907,1.730248715398119,-6.365117040469594,-2.1748267324560437,0.42749800332476384,3.398434923522148,8.906639697924376,2.8000000000000003
3,18,2500,1.482745951194091,2.1767601379924453,-6.632165981086168,-1.7566213249545468,1.3077471436169081,5.395108703670274,10.620854871901768,10.879999999999999
3,24,2500,2.631429982320312,2.6113648258570774,-5.499736486167764,-1.3969483325038015,2.441165039686449,7.175432753916673,14.765831487323029,27.36
4,0,2500,-0.4052858602077009,0.37890057759294177,-1.778506839333517,-0.9317929747360887,-0.4521670098360559,0.2674257644884863,1.541622560014531,0.0
4,6,2500,-0.09763905402788631,0.8184627789746034,-3.1022646145949784,-1.061345045997532,-0.25344637101792933,1.4843253308397224,3.799138691518139,0.0
4,12,2500,1.4880168579623105,1.702148842936006,-2.4102831778759524,-1.0787533964754794,1.4417383367940066,4.283922972671364,7.378692504811701,7.199999999999999
4,18,2500,3.3539625435700464,2.139311013892222,-4.149601625016132,-0.4205595860738834,3.4303188161496827,6.746533506535091,9.546987695033742,38.800000000000004
4,24,2500,5.330738274920683,2.2730299425228977,-5.385330755195371,1.3646278756220935,5.458739752259637,8.792398705376687,12.654503305078896,74.76
