box_id,layer,box_number,hour,simulation_count,mean_simulated_value,stdev_simulated_value,min_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,max_simulated_value,risk_percent,observed_average,observed_stdev
L1B1,1,1,0,500,0.16736710491191445,1.843135333626069,-5.508966439449676,-2.725741157470569,0.2681915328786376,3.121886628953799,5.849406958146577,1.7999999999999998,0.275,1.782086791750989
L1B1,1,1,6,500,1.4222195452430495,2.6955756611948245,-7.1350122817435935,-2.72508480371877,1.3976739737704822,5.596010307263029,10.03041928877018,18.0,1.25,2.6083200212652846
L1B1,1,1,12,500,3.9715790767184385,0.9513631252681088,0.5634240653051736,2.3030404254410968,4.016442486561168,5.505318436389634,6.839148270224719,51.0,3.95,0.9539392014169452
L1B1,1,1,18,500,6.290003872212035,0.8197544124514557,3.7453714714929305,4.994911651651707,6.2517552950189526,7.604132890235146,9.007325948758208,99.8,6.25,0.8582928793055893
L1B1,1,1,24,500,7.263911599994826,1.0215590576476359,3.8718451827547247,5.556668931835237,7.269484460000333,8.94328188035811,10.089586449828712,99.8,7.25,0.9882644720249074
L1B2,1,2,0,500,0.6014671168935647,1.6712732046842043,-4.130647984798271,-2.16566872354559,0.6406518494495049,3.468840781003435,5.739557751457068,2.0,0.575,1.682012683265696
L1B2,1,2,6,500,1.669713989106153,1.3383994170189144,-2.9650193519697554,-0.4625483671070331,1.7076953506829162,3.8045987181483834,5.551994150516489,4.0,1.625,1.3598406769422169
L1B2,1,2,12,500,4.108001432884549,0.9076648212648968,1.2416833930012268,2.612136503935947,4.120860685100009,5.643258928617238,6.977663823922414,56.00000000000001,4.1,0.9092121131323913
L1B2,1,2,18,500,6.348688543009346,1.113989478360266,3.26457352026746,4.6125939584425595,6.341102308357169,8.145287685244382,9.648009488014942,98.6,6.4,1.1045361017187212
L1B2,1,2,24,500,7.308218570571143,0.8269794960099863,4.874175060187321,5.996066959206494,7.289741467094144,8.749799387241856,10.478450746564905,100.0,7.324999999999999,0.8015609770940698
L1B3,1,3,0,500,-0.1825344543451648,0.7286358027941633,-2.362574118159144,-1.4191908436336012,-0.17302346536389573,0.9905291357661279,1.9586314130085147,0.0,-0.175,0.75
L1B3,1,3,6,500,0.5049960894134201,1.2476022960597817,-3.2168502949338253,-1.3733685959337065,0.41683819909187425,2.584618748669223,4.059558234073094,0.4,0.6,1.2463279397226612
L1B3,1,3,12,500,5.87060139447968,3.048893899532406,-1.7613495410411018,1.0376648895026286,5.847111355576047,11.124538071532497,14.163592826502368,72.2,5.85,3.183813227352802
L1B3,1,3,18,500,5.732166855619131,1.0933947811913134,2.525992447543141,3.956997990031729,5.700452918416628,7.621893874670477,8.784022972877043,94.8,5.699999999999999,1.1045361017187298
L1B3,1,3,24,500,7.6287237559387,3.2291321708021834,-1.7691325997413276,2.5165693008888903,7.468106564493054,13.01450107851193,16.029153011213882,87.2,7.574999999999999,3.1447045436203864
L1B4,1,4,0,500,-0.8690127706947263,0.6077509285701591,-2.4672217305328665,-1.811904555038225,-0.8686189260193504,0.1000523124074501,0.9369923360999236,0.0,-0.875,0.6020797289396146
L1B4,1,4,6,500,1.114459515444323,3.4142891010067906,-8.668726221992156,-4.707028673784875,1.406874523644897,6.198476887582452,12.33474179169371,21.4,1.15,3.345145736735547
L1B4,1,4,12,500,3.9421210140299023,4.0577207518989,-8.02137784738898,-2.7843359910281977,4.252714806614573,10.518440319444442,16.903289492211876,52.6,4.275,4.099898372724216
L1B4,1,4,18,500,5.118008755437063,2.6733985540070053,-3.0727625024683407,0.7318283737892614,5.106126166888629,9.445398300404523,14.839982464664942,68.4,5.133333333333334,2.58907963055085
L1B4,1,4,24,500,7.257850675495641,2.975136286038646,-1.913673047271259,2.25637170027932,7.337783455724249,11.834958235492266,15.639704609429224,84.8,7.399999999999999,2.8855964143772206
L1B5,1,5,0,500,-0.5807301215342167,0.9563172226623982,-3.6748164022078793,-2.2379203998668302,-0.5828473131981986,0.9933256701716542,2.347165367466413,0.0,-0.55,0.9609023536933048
L1B5,1,5,6,500,1.137671558072703,1.4404454075272932,-2.689334626935365,-1.1977139256132754,1.120656052641153,3.7431701857982573,5.710307824643786,3.0,1.025,1.4314910641239318
L1B5,1,5,12,500,4.609734103333057,0.6338428874411817,2.7912407119845373,3.5938078174863195,4.626328006722554,5.646289380887892,6.379032850656595,83.6,4.625,0.6551081335677834
L1B5,1,5,18,500,6.230816146191565,1.1090586098640438,3.1900039371563014,4.392463161273039,6.203562528696466,8.044692295244515,9.774762971790835,97.8,6.2,1.0739335795724687
L1B5,1,5,24,500,7.574594525045573,0.5155187933365408,5.905165181121685,6.678112743041621,7.573389890636236,8.41051295164656,9.198377537199944,100.0,7.575,0.5377421934967229
L2B10,2,10,0,500,-0.9858595858005675,0.152343995717576,-1.3774391662922914,-1.2531794751658474,-0.9870056008274565,-0.7467986809082675,-0.566315915163176,0.0,-1.0,0.1414213562373103
L2B10,2,10,6,500,-0.8262325920304626,0.37195779818549446,-2.0177830219701103,-1.4320184817912476,-0.8309687276084408,-0.220978327733911,0.1062550314807234,0.0,-0.82,0.3563705936241094
L2B10,2,10,12,500,0.5852147520954246,1.2271308442908306,-2.552615019691428,-1.5061523794756182,0.6305262829491345,2.5399094911331517,4.4508773001336825,0.4,0.56,1.2054044964243331
L2B10,2,10,18,500,1.4867484970422917,1.1262016217315727,-2.4197334983885552,-0.3842693628061092,1.5029075157558727,3.276026332683216,5.5856325124499,1.6,1.52,1.1300442469213314
L2B10,2,10,24,500,3.3023750400593674,0.8968352927429811,0.0446366922852838,1.9102344694789462,3.257252299138917,4.757057225038525,6.074747047888483,22.400000000000002,3.22,0.9093954035511724
L2B6,2,6,0,500,-0.5547879461709403,0.8365116934728914,-3.121461020075276,-1.8029495527995025,-0.5472938893431443,0.7774556874890273,2.681479648205001,0.0,-0.54,0.8203657720797474
L2B6,2,6,6,500,0.38566714951523673,0.9965220146591814,-2.360483000989199,-1.1902772079801383,0.39214636787486434,2.014330550109553,4.813459761133913,0.2,0.3399999999999999,0.960728889958036
L2B6,2,6,12,500,2.1195137367486643,1.0899450585870631,-0.6425959978680305,0.3756394079301717,2.0633371286070883,4.011022884071181,5.9819310286398055,5.2,2.12,1.056882207249228
L2B6,2,6,18,500,4.01057572181753,0.9582375710829814,1.3293408773480309,2.4043345106482055,3.997880541616879,5.496483834267467,6.927113946952824,50.0,4.0,0.9974968671629988
L2B6,2,6,24,500,5.7639253450404295,1.4206631384339103,1.913110241501324,3.3358531074432265,5.786194090510063,8.077556281042888,9.585836365910309,89.0,5.7,1.412444689182555
L2B7,2,7,0,500,-0.9453817458895781,0.49683615831484335,-2.7828000386102243,-1.7469572150109052,-0.9569220293884237,-0.11775590245476786,0.4337013055607751,0.0,-0.9399999999999998,0.531977443130816
L2B7,2,7,6,500,-1.038864866263716,0.11850997230805642,-1.3782086667757616,-1.230477775626901,-1.038570665640473,-0.8314959315321636,-0.67423625568616,0.0,-1.04,0.1140175425099137
L2B7,2,7,12,500,-0.09787806937149407,1.1747424055928686,-3.364576282779678,-2.091199076124154,-0.1272212104331385,1.7468792058307638,3.946736674217039,0.0,-0.14,1.1371015785759864
L2B7,2,7,18,500,1.2775272076766753,1.6655139937701244,-3.786993952746729,-1.3995860294586997,1.2340996483997648,3.9487904096342055,6.061302111863463,4.8,1.22,1.678392087683924
