box_id,layer,box_number,hour,x_inches,y_inches,z_inches,exposed_surfaces,observed_mean,observed_stdev,observed_trial_count,simulation_count,mean_simulated_value,stdev_simulated_value,p05_simulated_value,p50_simulated_value,p95_simulated_value,risk_percent,mean_difference,absolute_mean_difference,observed_is_risky,monte_carlo_is_risky,risk_agreement,observed_inside_5_95_interval
L1B1,1,1,0,11.75,31.5,35.0,3,0.275,1.782086791750989,4,500,0.1673671049119144,1.843135333626069,-2.725741157470569,0.2681915328786376,3.121886628953799,1.7999999999999998,-0.10763289508808563,0.10763289508808563,False,False,True,True
L1B1,1,1,6,11.75,31.5,35.0,3,1.25,2.6083200212652846,4,500,1.4222195452430495,2.6955756611948245,-2.72508480371877,1.3976739737704822,5.596010307263029,18.0,0.1722195452430495,0.1722195452430495,False,False,True,True
L1B1,1,1,12,11.75,31.5,35.0,3,3.95,0.9539392014169458,4,500,3.9715790767184393,0.9513631252681088,2.3030404254410968,4.016442486561168,5.505318436389634,51.0,0.021579076718439172,0.021579076718439172,False,True,False,True
L1B1,1,1,18,11.75,31.5,35.0,3,6.25,0.8582928793055823,4,500,6.290003872212035,0.8197544124514557,4.994911651651707,6.2517552950189526,7.604132890235146,99.8,0.04000387221203461,0.04000387221203461,True,True,True,True
L1B1,1,1,24,11.75,31.5,35.0,3,7.25,0.9882644720249062,4,500,7.263911599994826,1.021559057647636,5.556668931835237,7.269484460000333,8.94328188035811,99.8,0.013911599994825607,0.013911599994825607,True,True,True,True
L1B2,1,2,0,35.25,31.5,35.0,3,0.5750000000000001,1.682012683265696,4,500,0.6014671168935647,1.6712732046842045,-2.16566872354559,0.6406518494495049,3.468840781003435,2.0,0.026467116893564624,0.026467116893564624,False,False,True,True
L1B2,1,2,6,35.25,31.5,35.0,3,1.625,1.3598406769422169,4,500,1.669713989106153,1.3383994170189144,-0.4625483671070331,1.7076953506829162,3.804598718148384,4.0,0.044713989106152985,0.044713989106152985,False,False,True,True
L1B2,1,2,12,35.25,31.5,35.0,3,4.1,0.9092121131323904,4,500,4.108001432884549,0.9076648212648968,2.612136503935947,4.120860685100009,5.643258928617238,56.00000000000001,0.008001432884549686,0.008001432884549686,True,True,True,True
L1B2,1,2,18,35.25,31.5,35.0,3,6.4,1.104536101718726,4,500,6.348688543009346,1.113989478360266,4.61259395844256,6.341102308357169,8.145287685244382,98.6,-0.051311456990654314,0.051311456990654314,True,True,True,True
L1B2,1,2,24,35.25,31.5,35.0,3,7.324999999999999,0.8015609770940699,4,500,7.308218570571143,0.8269794960099863,5.996066959206494,7.289741467094144,8.749799387241856,100.0,-0.016781429428855965,0.016781429428855965,True,True,True,True
L1B3,1,3,0,8.0,11.75,35.0,3,-0.175,0.7499999999999999,4,500,-0.1825344543451648,0.7286358027941633,-1.4191908436336012,-0.1730234653638957,0.990529135766128,0.0,-0.007534454345164809,0.007534454345164809,False,False,True,True
L1B3,1,3,6,8.0,11.75,35.0,3,0.6,1.2463279397226612,4,500,0.5049960894134201,1.2476022960597817,-1.3733685959337063,0.4168381990918742,2.584618748669223,0.4,-0.09500391058657986,0.09500391058657986,False,False,True,True
L1B3,1,3,12,8.0,11.75,35.0,3,5.85,3.183813227352802,4,500,5.87060139447968,3.048893899532406,1.0376648895026286,5.847111355576047,11.124538071532497,72.2,0.020601394479680124,0.020601394479680124,True,True,True,True
L1B3,1,3,18,8.0,11.75,35.0,3,5.7,1.1045361017187263,4,500,5.732166855619131,1.0933947811913134,3.956997990031729,5.700452918416628,7.621893874670477,94.8,0.03216685561913124,0.03216685561913124,True,True,True,True
L1B3,1,3,24,8.0,11.75,35.0,3,7.575,3.144704543620381,4,500,7.6287237559387,3.2291321708021834,2.5165693008888903,7.468106564493054,13.01450107851193,87.2,0.053723755938699824,0.053723755938699824,True,True,True,True
L1B4,1,4,0,24.0,11.75,35.0,2,-0.875,0.6020797289396148,4,500,-0.8690127706947263,0.6077509285701591,-1.811904555038225,-0.8686189260193504,0.1000523124074501,0.0,0.0059872293052737335,0.0059872293052737335,False,False,True,True
L1B4,1,4,6,24.0,11.75,35.0,2,1.15,3.345145736735546,4,500,1.114459515444323,3.4142891010067906,-4.707028673784875,1.406874523644897,6.198476887582452,21.4,-0.03554048455567682,0.03554048455567682,False,False,True,True
L1B4,1,4,12,24.0,11.75,35.0,2,4.275,4.099898372724215,4,500,3.9421210140299023,4.0577207518989,-2.7843359910281977,4.252714806614573,10.518440319444442,52.6,-0.332878985970098,0.332878985970098,True,True,True,True
L1B4,1,4,18,24.0,11.75,35.0,2,5.825,2.526361019331956,4,500,5.118008755437063,2.6733985540070053,0.7318283737892614,5.106126166888629,9.445398300404523,68.4,-0.7069912445629374,0.7069912445629374,True,True,True,True
L1B4,1,4,24,24.0,11.75,35.0,2,7.4,2.88559641437722,4,500,7.257850675495641,2.975136286038646,2.25637170027932,7.337783455724249,11.834958235492266,84.8,-0.14214932450435924,0.14214932450435924,True,True,True,True
L1B5,1,5,0,40.0,11.75,35.0,3,-0.55,0.9609023536933048,4,500,-0.5807301215342167,0.9563172226623982,-2.2379203998668302,-0.5828473131981986,0.9933256701716542,0.0,-0.030730121534216615,0.030730121534216615,False,False,True,True
L1B5,1,5,6,40.0,11.75,35.0,3,1.025,1.4314910641239318,4,500,1.137671558072703,1.4404454075272932,-1.1977139256132754,1.120656052641153,3.743170185798257,3.0,0.11267155807270313,0.11267155807270313,False,False,True,True
