box_id,layer,box_number,hour,risky_observations,total_observations,risk_percent
L3B13,3,13,20,2,5,40.0
L3B13,3,13,22,2,5,40.0
L3B13,3,13,24,3,5,60.0
L3B14,3,14,0,0,5,0.0
L3B14,3,14,2,0,5,0.0
L3B14,3,14,4,0,5,0.0
L3B14,3,14,6,0,5,0.0
L3B14,3,14,8,0,5,0.0
L3B14,3,14,10,0,5,0.0
L3B14,3,14,12,0,5,0.0
L3B14,3,14,14,0,5,0.0
L3B14,3,14,16,0,5,0.0
L3B14,3,14,18,1,5,20.0
L3B14,3,14,20,0,5,0.0
L3B14,3,14,22,0,5,0.0
L3B14,3,14,24,1,5,20.0
L3B15,3,15,0,0,5,0.0
L3B15,3,15,2,0,5,0.0
L3B15,3,15,4,0,5,0.0
L3B15,3,15,6,0,5,0.0
L3B15,3,15,8,0,5,0.0
L3B15,3,15,10,0,5,0.0
L3B15,3,15,12,0,5,0.0
L3B15,3,15,14,0,5,0.0
L3B15,3,15,16,1,5,20.0
L3B15,3,15,18,0,5,0.0
L3B15,3,15,20,1,5,20.0
L3B15,3,15,22,1,5,20.0
L3B15,3,15,24,1,5,20.0
L4B16,4,16,0,0,4,0.0
L4B16,4,16,2,0,4,0.0
L4B16,4,16,4,0,4,0.0
L4B16,4,16,6,0,4,0.0
L4B16,4,16,8,0,4,0.0
L4B16,4,16,10,0,4,0.0
L4B16,4,16,12,0,4,0.0
L4B16,4,16,14,0,4,0.0
L4B16,4,16,16,0,4,0.0
L4B16,4,16,18,1,4,25.0
L4B16,4,16,20,2,4,50.0
L4B16,4,16,22,2,4,50.0
L4B16,4,16,24,2,4,50.0
L4B17,4,17,0,0,4,0.0
L4B17,4,17,2,0,4,0.0
L4B17,4,17,4,0,4,0.0
L4B17,4,17,6,0,4,0.0
L4B17,4,17,8,0,4,0.0
L4B17,4,17,10,0,4,0.0
L4B17,4,17,12,0,4,0.0
L4B17,4,17,14,1,4,25.0
L4B17,4,17,16,2,4,50.0
L4B17,4,17,18,2,4,50.0
L4B17,4,17,20,2,4,50.0
L4B17,4,17,22,2,4,50.0
L4B17,4,17,24,3,4,75.0
